Testing rows 1-30 (skip row0=header)...
Row1 OK SIM=L CSV=L f=1831
Row2 OK SIM=L CSV=L f=720
Row3 OK SIM=R CSV=R f=975
Row4 OK SIM=R CSV=R f=1354
Row5 OK SIM=L CSV=L f=1896
Row6 OK SIM=L CSV=L f=968
Row7 OK SIM=R CSV=R f=3283
Row8 OK SIM=R CSV=R f=3039
Row9 OK SIM=L CSV=L f=873
Row10 OK SIM=R CSV=R f=1839
Row11 OK SIM=L CSV=L f=492
Row12 OK SIM=R CSV=R f=3188
Row13 OK SIM=R CSV=R f=1559
Row14 OK SIM=L CSV=L f=882
Row15 OK SIM=L CSV=L f=699
Row16 OK SIM=L CSV=L f=748
Row17 OK SIM=L CSV=L f=1240
Row18 MIS SIM=L CSV=R f=3063
Row19 OK SIM=R CSV=R f=1528
Row20 OK SIM=L CSV=L f=903
Row21 OK SIM=R CSV=R f=1564
Row22 MIS SIM=L CSV=R f=1800
Row23 OK SIM=R CSV=R f=3066
Row24 MIS SIM=R CSV=L f=1121
Row25 OK SIM=L CSV=L f=2228
Row26 OK SIM=L CSV=L f=2909
Row27 MIS SIM=R CSV=L f=2807
Row28 MIS SIM=L CSV=R f=1240
Row29 MIS SIM=L CSV=R f=2688
Row30 MIS SIM=L CSV=R f=2256

Accuracy: 23/30 = 76.7% err=0 time=31s
