Winner=L at frame2718
  源石畸变体0 HP=1825/2500
  变异巨岩蛛1 [DEAD]
  源石畸变体2 HP=2000/2500
  “投石机”3 [DEAD]
  源石畸变体4 [DEAD]
  变异巨岩蛛5 [DEAD]
  杰斯顿·威廉姆斯6 HP=7660/12500
  “投石机”7 [DEAD]
  源石畸变体8 HP=540/2500
  “投石机”9 [DEAD]
  源石畸变体10 [DEAD]
  “投石机”11 [DEAD]
  源石畸变体12 HP=1660/2500
  变异巨岩蛛13 [DEAD]
  变异巨岩蛛14 [DEAD]
  变异巨岩蛛15 [DEAD]
  “投石机”16 [DEAD]
  “投石机”17 [DEAD]
  畸变赘生物18 [DEAD]
  畸变赘生物19 [DEAD]
  畸变赘生物20 [DEAD]
  畸变赘生物21 [DEAD]
  畸变赘生物22 [DEAD]
  畸变赘生物23 [DEAD]
  畸变赘生物24 [DEAD]
  畸变赘生物25 [DEAD]
  畸变赘生物26 [DEAD]
  畸变赘生物27 [DEAD]
  畸变赘生物28 [DEAD]
  畸变赘生物29 [DEAD]
  畸变赘生物30 [DEAD]
  畸变赘生物31 [DEAD]
  畸变赘生物32 [DEAD]
  畸变赘生物33 [DEAD]
  畸变赘生物34 [DEAD]
  畸变赘生物35 [DEAD]
  畸变赘生物36 [DEAD]
  畸变赘生物37 [DEAD]
