  0 | 高级武装人员 | HP=9000 ATK=2250 DEF=800.0 RES=30.0 | 物理 | 范围=0.8 间隔=3.5 移速=0.65 | 类=高级武装人员
  1 | “门” | HP=25000 ATK=1500 DEF=300.0 RES=10.0 | 法术 | 范围=0.8 间隔=3.5 移速=0.7 | 类=NoneType
  2 | 萨卡兹宿主卫巢百夫长 | HP=7000 ATK=1050 DEF=220 RES=60 | 法术 | 范围=1.6 间隔=5 移速=0.8 | 类=NoneType
  3 | 冰爆源石虫 | HP=1625 ATK=450 DEF=0.0 RES=0.0 | 物理 | 范围=0.8 间隔=1.7 移速=1.0 | 类=冰爆源石虫
  4 | 狂暴宿主组长 | HP=15000 ATK=2625 DEF=230.0 RES=30.0 | 物理 | 范围=0.8 间隔=1.3 移速=1.2 | 类=狂暴宿主组长
  5 | 变异巨岩蛛 | HP=7500 ATK=900 DEF=300.0 RES=0.0 | 物理 | 范围=3.0 间隔=3 移速=0.8 | 类=NoneType
  6 | 朗姆酒推荐者 | HP=5250 ATK=1500 DEF=500.0 RES=20.0 | 物理 | 范围=0.8 间隔=3 移速=0.5 | 类=NoneType
  7 | 诡核集养者 | HP=4000 ATK=285.0 DEF=150.0 RES=35.0 | 法术 | 范围=2.8 间隔=1.6 移速=1.0 | 类=NoneType
  8 | 萨卡兹枯朽宿卫 | HP=2500 ATK=1500 DEF=5000.0 RES=90.0 | 物理 | 范围=0.8 间隔=5 移速=0.6 | 类=NoneType
  9 | 灼热源石虫 | HP=600.0 ATK=75.0 DEF=0.0 RES=0.0 | 法术 | 范围=2.8 间隔=2.0 移速=0.8 | 类=NoneType
 10 | 提亚卡乌破坏王 | HP=4750 ATK=1125 DEF=700.0 RES=10.0 | 物理 | 范围=1.3 间隔=5 移速=0.7 | 类=提亚卡乌破坏王
 11 | 高塔术师 | HP=3500 ATK=900 DEF=160.0 RES=65.0 | 法术 | 范围=3.2 间隔=7 移速=0.6 | 类=高塔术师
 12 | 凶豕兽 | HP=10000.0 ATK=1050.0 DEF=20.0 RES=0.0 | 物理 | 范围=0.8 间隔=4 移速=0.35 | 类=凶豕兽
 13 | 矿脉守卫 | HP=12500 ATK=600 DEF=300 RES=10 | 法术 | 范围=0.8 间隔=4 移速=0.6 | 类=矿脉守卫
 14 | 呼啸骑士团学徒 | HP=1400 ATK=450 DEF=100.0 RES=0.0 | 物理 | 范围=3 间隔=2.4 移速=0.9 | 类=呼啸骑士团学徒
 15 | 寻路者信使 | HP=8500 ATK=900 DEF=500.0 RES=60.0 | 法术 | 范围=2.5 间隔=2.7 移速=0.8 | 类=寻路者信使
 16 | “复仇者” | HP=9000 ATK=720 DEF=230 RES=50 | 物理 | 范围=0.8 间隔=2.3 移速=0.65 | 类=NoneType
 17 | 反装甲步兵 | HP=1600 ATK=750 DEF=50.0 RES=40.0 | 物理 | 范围=3.5 间隔=2.6 移速=0.9 | 类=反装甲步兵
 18 | 湖畔志愿者 | HP=2000 ATK=480 DEF=250.0 RES=50.0 | 物理 | 范围=0.8 间隔=0.4 移速=0.95 | 类=湖畔志愿者
 19 | 固海凿石者 | HP=3000 ATK=495 DEF=200.0 RES=10.0 | 物理 | 范围=3.4 间隔=2.5 移速=0.9 | 类=NoneType
 20 | 散华骑士团学徒 | HP=3750 ATK=525 DEF=300.0 RES=60.0 | 法术 | 范围=3.2 间隔=3.2 移速=0.7 | 类=散华骑士团学徒
 21 | 冰原术师 | HP=2500 ATK=375 DEF=200.0 RES=50.0 | 物理 | 范围=3.2 间隔=4.5 移速=0.7 | 类=冰原术师
 22 | 旺财 | HP=7500 ATK=1800 DEF=700.0 RES=20.0 | 物理 | 范围=2.5 间隔=3 移速=0.7 | 类=NoneType
 23 | 田鼷 | HP=1000.0 ATK=510 DEF=0.0 RES=0.0 | 物理 | 范围=0.8 间隔=1.3 移速=1.9 | 类=NoneType
 24 | 迷路的巨像 | HP=37500 ATK=2250 DEF=600.0 RES=0.0 | 物理 | 范围=1.0 间隔=4.4 移速=0.5 | 类=迷路的巨像
 25 | 源石畸变体 | HP=2500 ATK=1500 DEF=2000.0 RES=80.0 | 法术 | 范围=0.8 间隔=4 移速=0.9 | 类=NoneType
 26 | “自在” | HP=20000.0 ATK=900.0 DEF=800.0 RES=55.0 | 法术 | 范围=3.5 间隔=2.0 移速=0.5 | 类=NoneType
 27 | 码头水手 | HP=5000 ATK=1200 DEF=800.0 RES=20.0 | 物理 | 范围=0.8 间隔=3.5 移速=0.7 | 类=NoneType
 28 | 温顺的武装驮兽 | HP=32500 ATK=2250 DEF=0 RES=50.0 | 物理 | 范围=0.8 间隔=5 移速=0.6 | 类=NoneType
 29 | 高能源石虫 | HP=1230 ATK=390 DEF=0.0 RES=0.0 | 物理 | 范围=0.8 间隔=1.7 移速=1.0 | 类=HighEnergySlug
 30 | 风情街“星术师” | HP=2500 ATK=570 DEF=250.0 RES=50.0 | 法术 | 范围=4.5 间隔=3.2 移速=0.7 | 类=NoneType
 31 | "阿咬" | HP=1800.0 ATK=435 DEF=120.0 RES=10.0 | 物理 | 范围=0.8 间隔=2 移速=1.1 | 类=NoneType
 32 | 高普尼克 | HP=15000 ATK=3000 DEF=200.0 RES=50.0 | 物理 | 范围=0.8 间隔=3.5 移速=0.5 | 类=高普尼克
 33 | 残党萨克斯手 | HP=8750 ATK=1200 DEF=650 RES=20 | 物理 | 范围=0.8 间隔=4.5 移速=0.8 | 类=残党萨克斯手
 34 | “投石机” | HP=10000.0 ATK=800.0 DEF=700.0 RES=20.0 | 物理 | 范围=1.0 间隔=3 移速=0.7 | 类=投石机
 35 | 杰斯顿·威廉姆斯 | HP=12500 ATK=1050 DEF=400.0 RES=20.0 | 法术 | 范围=3 间隔=4 移速=0.6 | 类=杰斯顿·威廉姆斯
 36 | “庞贝” | HP=20000 ATK=345 DEF=220.0 RES=70.0 | 法术 | 范围=4.5 间隔=3.5 移速=0.65 | 类=庞贝
 37 | 泥岩巨像 | HP=50000 ATK=4500 DEF=700.0 RES=30.0 | 物理 | 范围=0.8 间隔=7 移速=0.4 | 类=泥岩巨像
 38 | 炮击组长 | HP=2500 ATK=825 DEF=150.0 RES=0.0 | 物理 | 范围=7.0 间隔=4.5 移速=0.8 | 类=炮击组长
 39 | 狂暴的猎狗pro | HP=1500 ATK=555 DEF=0.0 RES=20.0 | 物理 | 范围=0.8 间隔=1.4 移速=1.9 | 类=NoneType
 40 | 酸液源石虫·α | HP=1390 ATK=435 DEF=0.0 RES=0.0 | 物理 | 范围=2.75 间隔=3.3 移速=1.0 | 类=AcidSlug
 41 | 终曲合声 | HP=30000 ATK=450 DEF=0.0 RES=0.0 | 物理 | 范围=8.0 间隔=5.0 移速=0.9 | 类=NoneType
 42 | 狙击步兵 | HP=1750 ATK=450 DEF=100.0 RES=10.0 | 物理 | 范围=3.8 间隔=4 移速=0.8 | 类=NoneType
 43 | 奎隆，摩诃萨埵权化 | HP=150000 ATK=5250 DEF=1200.0 RES=70.0 | 物理 | 范围=0.8 间隔=6 移速=0.35 | 类=奎隆
 44 | 全封闭沙滩车 | HP=7500 ATK=1125 DEF=500.0 RES=10.0 | 物理 | 范围=0.8 间隔=3.5 移速=2.0 | 类=沙滩车
 45 | R-11突击动力装甲 | HP=12500 ATK=1800 DEF=1000.0 RES=20.0 | 物理 | 范围=5 间隔=5 移速=0.3 | 类=R11突击动力装甲
 46 | R-31重型动力装甲 | HP=12500 ATK=2400 DEF=1000.0 RES=20.0 | 物理 | 范围=0.8 间隔=4 移速=0.3 | 类=R31重型动力装甲
 47 | 沉沙 | HP=5000 ATK=2250 DEF=500.0 RES=30.0 | 物理 | 范围=0.8 间隔=2.2 移速=1.5 | 类=NoneType
 48 | 枯朽之种 | HP=600 ATK=2625 DEF=0.0 RES=0.0 | 物理 | 范围=2 间隔=2 移速=0.6 | 类=枯朽之种
 49 | 水手重艇 | HP=9000 ATK=1950 DEF=700.0 RES=0.0 | 物理 | 范围=0.8 间隔=5 移速=1.2 | 类=水手重艇
 50 | “盛怒” | HP=8000 ATK=1650 DEF=600.0 RES=25.0 | 物理 | 范围=1.9 间隔=3 移速=0.7 | 类=NoneType
 51 | “妒” | HP=4000 ATK=750 DEF=100.0 RES=60.0 | 法术 | 范围=2.5 间隔=4 移速=0.8 | 类=NoneType
 52 | 水遁忍者 | HP=6000.0 ATK=1125.0 DEF=350.0 RES=20 | 物理 | 范围=0.8 间隔=1.5 移速=0.7 | 类=NoneType
 53 | 萨卡兹枯朽吞噬者 | HP=12500 ATK=1575 DEF=0.0 RES=20.0 | 物理 | 范围=0.8 间隔=3.5 移速=0.5 | 类=萨卡兹枯朽吞噬者
 54 | 瘴 | HP=5000 ATK=1050 DEF=200.0 RES=30.0 | 物理 | 范围=0.9 间隔=2.5 移速=0.5 | 类=NoneType
 55 | 腐败骑士 | HP=35000 ATK=2250 DEF=1000 RES=30.0 | 物理 | 范围=0.8 间隔=4 移速=0.65 | 类=腐败骑士
 56 | 玉双剑 | HP=19000 ATK=1050 DEF=300 RES=35 | 物理 | 范围=1.5 间隔=4 移速=0.5 | 类=NoneType
 57 | “萨米的意志” | HP=50000 ATK=1200 DEF=800.0 RES=40.0 | 物理 | 范围=0.8 间隔=6 移速=1.0 | 类=萨米的意志
 58 | 岁相 | HP=65000 ATK=1800 DEF=550 RES=30 | 物理 | 范围=3.0 间隔=2.5 移速=0.1 | 类=岁相
 59 | 萨卡兹大剑手 | HP=3750.0 ATK=900.0 DEF=230.0 RES=50.0 | 物理 | 范围=0.8 间隔=2.0 移速=0.425 | 类=NoneType
 60 | 宿主流浪者 | HP=5500.0 ATK=975.0 DEF=200.0 RES=30.0 | 物理 | 范围=0.8 间隔=3.0 移速=0.65 | 类=宿主流浪者
 61 | 复仇者 | HP=9000 ATK=720 DEF=230 RES=50 | 物理 | 范围=0.8 间隔=2.3 移速=0.65 | 类=复仇者
 62 | 拳手囚犯 | HP=4000.0 ATK=450.0 DEF=300.0 RES=0.0 | 物理 | 范围=0.8 间隔=1.2 移速=1.6 | 类=拳手囚犯
 63 | 神射手囚犯 | HP=3500 ATK=300 DEF=0 RES=0 | 物理 | 范围=3.0 间隔=2.0 移速=1.0 | 类=NoneType
