排名,准确率,模型数,模型组合,权重
1,0.9057,7,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机87.6998 + best_model_loss_data156516_acc89.0746_loss0.2556_2026_05_03_21_12_44,"+0.2040, +0.2399, +0.1642, +0.1193, +0.0462, +0.1022, +0.1240"
2,0.9057,7,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机87.6998 + best_model_loss_data156516_acc89.0746_loss0.2556_2026_05_03_21_12_44_fixed,"+0.2040, +0.2399, +0.1642, +0.1193, +0.0462, +0.1022, +0.1240"
3,0.9056,7,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机87.6998 + 稽机88.4032,"+0.2223, +0.2544, +0.1610, +0.1189, +0.0655, +0.0592, +0.1188"
4,0.9056,8,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机87.6998 + 稽机88.4032 + best_model_loss_data156516_acc89.0746_loss0.2556_2026_05_03_21_12_44,"+0.2013, +0.2373, +0.1656, +0.1212, +0.0435, +0.0595, +0.0708, +0.1008"
5,0.9056,8,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机87.6998 + 稽机88.4032 + best_model_loss_data156516_acc89.0746_loss0.2556_2026_05_03_21_12_44_fixed,"+0.2013, +0.2373, +0.1656, +0.1212, +0.0435, +0.0595, +0.0708, +0.1008"
6,0.9056,8,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机87.6998 + best_model_loss_data156516_acc89.0746_loss0.2556_2026_05_03_21_12_44 + best_model_loss_data156516_acc89.0746_loss0.2556_2026_05_03_21_12_44_fixed,"+0.2048, +0.2398, +0.1657, +0.1197, +0.0467, +0.0993, +0.0620, +0.0620"
7,0.9055,9,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机87.6998 + 稽机88.4032 + best_model_loss_data156516_acc89.0746_loss0.2556_2026_05_03_21_12_44 + best_model_loss_data156516_acc89.0746_loss0.2556_2026_05_03_21_12_44_fixed,"+0.2007, +0.2348, +0.1663, +0.1195, +0.0439, +0.0563, +0.0730, +0.0527, +0.0527"
8,0.9055,7,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机88.4032 + best_model_loss_data156516_acc89.0746_loss0.2556_2026_05_03_21_12_44,"+0.1993, +0.2330, +0.1714, +0.1217, +0.0528, +0.1119, +0.1098"
9,0.9055,7,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机88.4032 + best_model_loss_data156516_acc89.0746_loss0.2556_2026_05_03_21_12_44_fixed,"+0.1993, +0.2330, +0.1714, +0.1217, +0.0528, +0.1119, +0.1098"
10,0.9054,6,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机88.4032 + best_model_loss_data156516_acc89.0746_loss0.2556_2026_05_03_21_12_44,"+0.2534, +0.2394, +0.2102, +0.0731, +0.1176, +0.1063"
